id,gt,pred,correct,invalid,elapsed
FB_MF_000,8,1,False,False,27.527726888656616
FB_MF_001,2,2685,False,False,25.15632963180542
FB_MF_002,9,2543,False,False,140.92835927009583
FB_MF_003,2,2258,False,False,19.008822679519653
FB_MF_004,2,1,False,False,18.716678857803345
FB_MF_005,9,689,False,False,45.2989981174469
FB_MF_006,6,20,False,False,5.613142251968384
FB_MF_007,3,1914,False,False,4.192331075668335
FB_MF_008,1,0,False,False,23.446136951446533
FB_MF_009,13,3448,False,False,28.388553619384766
FB_MF_010,5,3136,False,False,6.906982660293579
FB_MF_011,1,3588,False,False,35.24738550186157
FB_MF_012,2,265,False,False,7.6964874267578125
FB_MF_013,46,423,False,False,35.583643674850464
FB_MF_014,1,993,False,False,19.921701908111572
FB_MF_015,1,1999,False,False,33.995471239089966
FB_MF_016,53,2201,False,False,7.607505559921265
FB_MF_017,6,1808,False,False,32.079833030700684
FB_MF_018,4,1,False,False,5.408599615097046
FB_MF_019,7,1,False,False,7.502193450927734
FB_MF_020,10,0,False,False,18.0221529006958
FB_MF_021,10,2688,False,False,6.521829605102539
FB_MF_022,1,0,False,False,27.903058767318726
FB_MF_023,7,1932,False,False,23.11313009262085
FB_MF_024,5,3069,False,False,7.22760272026062
FB_MF_025,21,3687,False,False,3.0833702087402344
FB_MF_026,2,2938,False,False,19.355700254440308
FB_MF_027,7,2103,False,False,3.1398987770080566
FB_MF_028,13,263,False,False,20.104408979415894
FB_MF_029,12,1,False,False,37.69416689872742
FB_MF_030,9,657,False,False,8.317875385284424
FB_MF_031,20,1932,False,False,7.205679893493652
FB_MF_032,9,975,False,False,24.64254140853882
FB_MF_033,2,1,False,False,22.39155864715576
FB_MF_034,13,4000,False,False,23.43009877204895
FB_MF_035,3,1,False,False,31.158101081848145
FB_MF_036,5,1085,False,False,155.43736147880554
FB_MF_037,26,1689,False,False,6.139875411987305
FB_MF_038,3,3706,False,False,4.447020530700684
FB_MF_039,10,2425,False,False,17.698603630065918
FB_MF_040,7,0,False,False,19.998064041137695
FB_MF_041,1,1291,False,False,28.355129957199097
FB_MF_042,9,2338,False,False,40.83696794509888
FB_MF_043,3,3561,False,False,24.37339448928833
FB_MF_044,9,10,False,False,30.23138999938965
FB_MF_045,10,1,False,False,34.224525928497314
FB_MF_046,16,2465,False,False,61.476468086242676
FB_MF_047,8,2366,False,False,8.727112531661987
FB_MF_048,9,3,False,False,15.711228847503662
FB_MF_049,10,3724,False,False,11.101718664169312
