id,n_left,n_right,n_edges,match_size,status
FB_BM_000,15,15,8,4,ok
FB_BM_001,11,11,1,1,ok
FB_BM_002,14,14,12,6,ok
FB_BM_003,15,16,28,8,ok
FB_BM_004,19,19,7,6,ok
FB_BM_005,14,14,5,3,ok
FB_BM_006,15,16,10,6,ok
FB_BM_007,14,14,25,9,ok
FB_BM_008,17,18,13,9,ok
FB_BM_009,10,10,3,2,ok
FB_BM_010,17,17,15,7,ok
FB_BM_011,13,13,2,1,ok
FB_BM_012,18,18,17,8,ok
FB_BM_013,11,12,22,8,ok
FB_BM_014,15,15,15,7,ok
FB_BM_015,20,20,18,8,ok
FB_BM_016,10,10,4,2,ok
FB_BM_017,10,10,6,4,ok
FB_BM_018,16,16,30,11,ok
FB_BM_019,19,20,46,13,ok
FB_BM_020,13,13,4,3,ok
FB_BM_021,14,15,19,8,ok
FB_BM_022,10,10,5,3,ok
FB_BM_023,11,11,7,4,ok
FB_BM_024,16,17,26,7,ok
FB_BM_025,12,13,7,3,ok
FB_BM_026,18,18,24,8,ok
FB_BM_027,18,18,29,7,ok
FB_BM_028,11,11,9,5,ok
FB_BM_029,13,14,6,4,ok
FB_BM_030,11,12,8,3,ok
FB_BM_031,14,15,11,7,ok
FB_BM_032,16,17,3,2,ok
FB_BM_033,15,16,14,6,ok
FB_BM_034,10,11,8,5,ok
FB_BM_035,11,11,2,2,ok
FB_BM_036,11,11,10,5,ok
FB_BM_037,16,16,19,8,ok
FB_BM_038,17,18,9,5,ok
FB_BM_039,13,13,1,1,ok
FB_BM_040,17,18,41,12,ok
FB_BM_041,12,12,17,7,ok
FB_BM_042,16,17,30,7,ok
FB_BM_043,15,15,46,12,ok
FB_BM_044,18,19,11,7,ok
FB_BM_045,10,10,1,1,ok
FB_BM_046,10,10,19,7,ok
FB_BM_047,13,13,17,7,ok
FB_BM_048,13,13,5,4,ok
FB_BM_049,20,20,18,11,ok
