id,n_nodes,n_edges,flow_value,status
FB_MF_000,31,42,8,ok
FB_MF_001,34,34,2,ok
FB_MF_002,32,36,9,ok
FB_MF_003,27,50,2,ok
FB_MF_004,22,16,2,ok
FB_MF_005,25,70,9,ok
FB_MF_006,32,24,6,ok
FB_MF_007,25,46,3,ok
FB_MF_008,31,34,1,ok
FB_MF_009,29,20,13,ok
FB_MF_010,35,92,5,ok
FB_MF_011,24,60,1,ok
FB_MF_012,30,60,2,ok
FB_MF_013,33,164,46,ok
FB_MF_014,35,60,1,ok
FB_MF_015,21,44,1,ok
FB_MF_016,23,98,53,ok
FB_MF_017,35,46,6,ok
FB_MF_018,25,20,4,ok
FB_MF_019,23,12,7,ok
FB_MF_020,21,6,10,ok
FB_MF_021,23,22,10,ok
FB_MF_022,32,36,1,ok
FB_MF_023,20,26,7,ok
FB_MF_024,21,14,5,ok
FB_MF_025,32,38,21,ok
FB_MF_026,22,14,2,ok
FB_MF_027,21,32,7,ok
FB_MF_028,23,18,13,ok
FB_MF_029,29,28,12,ok
FB_MF_030,31,58,9,ok
FB_MF_031,32,98,20,ok
FB_MF_032,24,16,9,ok
FB_MF_033,22,20,2,ok
FB_MF_034,31,68,13,ok
FB_MF_035,23,20,3,ok
FB_MF_036,27,30,5,ok
FB_MF_037,28,58,26,ok
FB_MF_038,29,72,3,ok
FB_MF_039,30,74,10,ok
FB_MF_040,34,42,7,ok
FB_MF_041,23,14,1,ok
FB_MF_042,34,60,9,ok
FB_MF_043,31,32,3,ok
FB_MF_044,21,36,9,ok
FB_MF_045,25,18,10,ok
FB_MF_046,29,66,16,ok
FB_MF_047,21,40,8,ok
FB_MF_048,21,28,9,ok
FB_MF_049,27,68,10,ok
