id,n_nodes,n_edges,distance,status
FB_SP_000,35,43,4,ok
FB_SP_001,34,16,1,ok
FB_SP_002,33,31,2,ok
FB_SP_003,33,46,1,ok
FB_SP_004,23,38,1,ok
FB_SP_005,34,83,2,ok
FB_SP_006,22,11,1,ok
FB_SP_007,29,8,1,ok
FB_SP_008,32,54,2,ok
FB_SP_009,23,39,2,ok
FB_SP_010,22,8,1,ok
FB_SP_011,22,25,2,ok
FB_SP_012,29,50,2,ok
FB_SP_013,30,11,2,ok
FB_SP_014,23,27,1,ok
FB_SP_015,33,62,3,ok
FB_SP_016,27,53,1,ok
FB_SP_017,24,13,1,ok
FB_SP_018,26,17,2,ok
FB_SP_019,23,21,1,ok
FB_SP_020,31,15,1,ok
FB_SP_021,31,23,1,ok
FB_SP_022,32,65,1,ok
FB_SP_023,26,10,2,ok
FB_SP_024,25,30,1,ok
FB_SP_025,26,29,1,ok
FB_SP_026,30,60,2,ok
FB_SP_027,34,17,3,ok
FB_SP_028,29,38,5,ok
FB_SP_029,30,29,2,ok
FB_SP_030,29,52,1,ok
FB_SP_031,34,48,2,ok
FB_SP_032,24,49,3,ok
FB_SP_033,33,40,1,ok
FB_SP_034,30,35,2,ok
FB_SP_035,34,21,1,ok
FB_SP_036,29,11,1,ok
FB_SP_037,34,23,3,ok
FB_SP_038,31,11,2,ok
FB_SP_039,25,15,1,ok
FB_SP_040,28,34,1,ok
FB_SP_041,35,50,2,ok
FB_SP_042,31,31,1,ok
FB_SP_043,28,27,3,ok
FB_SP_044,24,40,2,ok
FB_SP_045,31,16,4,ok
FB_SP_046,31,31,1,ok
FB_SP_047,32,17,1,ok
FB_SP_048,20,29,2,ok
FB_SP_049,24,10,1,ok
