model,task,prompt_type,total,correct,invalid,accuracy,invalid_rate
llama3.2-1b,bipartite_matching,cot,84,4,0,4.761904761904762,0.0
llama3.2-1b,bipartite_matching,cot_hidden,84,5,0,5.952380952380952,0.0
llama3.2-1b,bipartite_matching,zero_shot,84,7,0,8.333333333333332,0.0
llama3.2-1b,connectivity,cot,371,192,0,51.75202156334232,0.0
llama3.2-1b,connectivity,cot_hidden,371,179,0,48.24797843665768,0.0
llama3.2-1b,connectivity,zero_shot,371,180,0,48.517520215633425,0.0
llama3.2-1b,maximum_flow,cot,58,0,0,0.0,0.0
llama3.2-1b,maximum_flow,cot_hidden,58,2,0,3.4482758620689653,0.0
llama3.2-1b,maximum_flow,zero_shot,58,2,0,3.4482758620689653,0.0
llama3.2-1b,shortest_path,cot,64,21,0,32.8125,0.0
llama3.2-1b,shortest_path,cot_hidden,64,15,0,23.4375,0.0
llama3.2-1b,shortest_path,zero_shot,124,28,0,22.58064516129032,0.0
phi3-medium,bipartite_matching,cot,84,3,0,3.571428571428571,0.0
phi3-medium,bipartite_matching,cot_hidden,84,7,0,8.333333333333332,0.0
phi3-medium,bipartite_matching,zero_shot,84,7,0,8.333333333333332,0.0
phi3-medium,connectivity,cot,371,241,0,64.95956873315365,0.0
phi3-medium,connectivity,cot_hidden,371,253,0,68.19407008086253,0.0
phi3-medium,connectivity,zero_shot,371,257,0,69.2722371967655,0.0
phi3-medium,maximum_flow,cot,58,2,1,3.4482758620689653,1.7241379310344827
phi3-medium,maximum_flow,cot_hidden,58,1,2,1.7241379310344827,3.4482758620689653
phi3-medium,maximum_flow,zero_shot,58,0,2,0.0,3.4482758620689653
phi3-medium,shortest_path,cot,64,7,1,10.9375,1.5625
phi3-medium,shortest_path,cot_hidden,64,11,2,17.1875,3.125
phi3-medium,shortest_path,zero_shot,64,12,1,18.75,1.5625
qwen2.5-3b,bipartite_matching,cot,84,6,0,7.142857142857142,0.0
qwen2.5-3b,bipartite_matching,cot_hidden,84,11,0,13.095238095238097,0.0
qwen2.5-3b,bipartite_matching,zero_shot,84,6,0,7.142857142857142,0.0
qwen2.5-3b,connectivity,cot,371,240,0,64.6900269541779,0.0
qwen2.5-3b,connectivity,cot_hidden,371,235,0,63.342318059299195,0.0
qwen2.5-3b,connectivity,zero_shot,371,221,0,59.56873315363881,0.0
qwen2.5-3b,maximum_flow,cot,58,1,0,1.7241379310344827,0.0
qwen2.5-3b,maximum_flow,cot_hidden,58,3,0,5.172413793103448,0.0
qwen2.5-3b,maximum_flow,zero_shot,58,3,0,5.172413793103448,0.0
qwen2.5-3b,shortest_path,cot,64,9,0,14.0625,0.0
qwen2.5-3b,shortest_path,cot_hidden,64,18,0,28.125,0.0
qwen2.5-3b,shortest_path,zero_shot,64,4,0,6.25,0.0
